T1,T2,CE-Word,IF,Word sim.,Hierarchy,Cite-Wang
191,73,0.005,0.000,0.000,0.190,888.692
191,85,0.011,0.000,0.024,0.000,613.236
192,160,0.000,0.000,0.000,0.000,0.000
192,169,0.071,0.000,0.050,0.110,697.267
192,235,0.091,0.000,0.024,0.030,391.946
194,288,0.000,0.000,0.000,0.000,0.000
195,14,0.004,0.000,0.000,1.120,1286.730
195,242,0.004,0.000,0.000,0.050,174.092
195,263,0.004,0.000,0.000,0.053,297.375
199,2,0.000,0.000,0.000,0.000,0.000
201,0,0.004,0.000,0.000,0.400,412.016
201,1,0.060,0.000,0.024,0.963,367.088
201,229,0.076,0.000,0.024,0.250,249.687
202,80,0.004,0.000,0.000,1.613,1079.472
202,149,0.004,0.000,0.000,0.213,975.272
202,177,0.009,0.000,0.050,0.840,999.690
202,250,0.000,0.000,0.000,0.000,0.000
203,189,0.070,0.000,0.024,0.133,2675.171
203,256,0.004,0.000,0.000,0.383,870.062
204,23,0.004,0.000,0.000,0.043,3232.581
204,126,0.045,0.000,0.077,0.030,3146.754
206,212,0.221,0.001,0.050,0.183,256.993
208,88,0.004,0.000,0.000,0.080,136.415
210,82,0.045,0.000,0.050,0.240,2300.580
210,188,0.096,0.000,0.050,0.117,1091.762
211,162,0.004,0.000,0.000,0.240,518.156
211,166,0.029,0.000,0.024,0.450,528.851
211,238,0.004,0.001,0.000,0.000,486.083
212,206,0.029,0.000,0.050,0.183,300.166
212,256,0.004,0.000,0.000,0.027,951.888
212,263,0.004,0.000,0.000,0.120,388.651
212,266,0.072,0.001,0.077,0.997,680.308
214,189,0.000,0.000,0.000,0.000,0.000
217,172,0.004,0.000,0.000,0.400,3087.876
222,32,0.046,0.000,0.024,0.403,1658.860
222,43,0.004,0.000,0.000,0.000,3866.620
226,56,0.325,0.000,0.077,0.057,592.977
227,2,0.000,0.000,0.000,0.000,0.000
228,91,0.146,0.000,0.077,2.560,510.660
228,97,0.020,0.000,0.077,0.150,1542.950
229,0,0.059,0.000,0.077,0.050,597.579
229,4,0.000,0.000,0.000,0.000,0.000
229,105,0.004,0.000,0.000,0.053,326.537
229,155,0.004,0.000,0.000,0.210,328.264
229,201,0.002,0.000,0.024,0.250,342.506
229,244,0.004,0.000,0.000,0.400,313.877
229,292,0.004,0.001,0.000,0.240,676.945
232,7,0.004,0.000,0.000,0.030,252.162
232,120,0.287,0.000,0.077,0.330,388.360
232,189,0.000,0.000,0.000,0.000,0.000
234,149,0.004,0.000,0.000,0.917,435.742
234,159,0.004,0.000,0.000,0.210,390.484
234,250,0.000,0.000,0.000,0.000,0.000
235,192,0.001,0.000,0.024,0.030,407.071
235,271,0.000,0.000,0.000,0.000,0.000
235,299,0.004,0.000,0.000,0.077,198.070
237,1,0.004,0.000,0.000,0.010,433.492
237,22,0.004,0.000,0.000,0.333,1007.200
237,65,0.326,0.000,0.200,0.560,538.502
237,123,0.014,0.000,0.024,0.163,559.906
238,211,0.004,0.000,0.000,0.000,566.771
238,247,0.032,0.001,0.024,0.150,818.878
241,271,0.000,0.000,0.000,0.000,0.000
242,2,0.000,0.000,0.000,0.000,0.000
242,189,0.000,0.000,0.000,0.000,0.000
242,195,0.004,0.000,0.000,0.050,317.960
243,56,0.020,0.000,0.024,0.747,653.594
243,99,0.071,0.000,0.050,1.870,730.861
243,262,0.000,0.000,0.024,0.027,323.029
243,285,0.004,0.000,0.000,0.427,867.129
244,229,0.004,0.000,0.000,0.400,250.500
245,43,0.060,0.000,0.024,0.160,2782.132
245,287,0.004,0.000,0.000,0.080,1890.323
247,66,0.004,0.000,0.000,0.693,999.272
247,238,0.020,0.000,0.024,0.150,789.293
248,112,0.150,0.000,0.024,0.280,773.756
248,142,0.004,0.000,0.000,0.027,694.283
249,72,0.000,0.000,0.000,0.000,0.000
249,107,0.000,0.000,0.000,0.000,0.000
250,149,0.000,0.000,0.000,0.000,0.000
250,202,0.000,0.000,0.000,0.000,0.000
250,234,0.000,0.000,0.000,0.000,0.000
251,46,0.004,0.000,0.000,0.163,253.045
252,77,0.004,0.000,0.000,0.950,1360.638
252,117,0.004,0.000,0.000,0.027,1082.546
253,275,0.130,0.001,0.050,0.587,1040.388
256,148,0.000,0.000,0.000,0.000,0.000
256,158,0.004,0.000,0.000,0.350,921.810
256,187,0.004,0.000,0.000,0.997,727.676
256,189,0.183,0.000,0.105,0.050,3215.356
256,203,0.004,0.000,0.000,0.383,762.213
256,212,0.004,0.000,0.000,0.027,779.049
256,266,0.004,0.001,0.000,1.190,1138.667
257,142,0.016,0.000,0.024,0.400,1142.712
257,264,0.000,0.000,0.000,0.000,0.000
258,262,0.004,0.000,0.000,0.477,274.073
260,2,0.000,0.000,0.000,0.000,0.000
260,25,0.000,0.000,0.000,0.000,0.000
260,47,0.004,0.000,0.000,0.213,6026.129
260,59,0.000,0.000,0.000,0.000,0.000
260,153,0.000,0.000,0.000,0.000,0.000
261,25,0.225,0.000,0.024,0.467,2611.991
261,82,0.004,0.000,0.000,0.030,1817.593
261,172,0.000,0.000,0.000,0.000,0.000
262,69,0.031,0.000,0.024,0.050,400.682
262,157,0.004,0.000,0.000,0.150,303.075
262,243,0.094,0.000,0.024,0.027,401.604
262,258,0.004,0.000,0.000,0.477,232.010
263,195,0.004,0.000,0.000,0.053,308.543
263,212,0.004,0.000,0.000,0.120,290.640
263,266,0.032,0.000,0.024,0.150,650.258
263,287,0.077,0.001,0.050,0.240,1582.782
264,257,0.000,0.000,0.000,0.000,0.000
265,158,0.027,0.000,0.077,0.090,383.752
265,266,0.004,0.000,0.000,0.623,600.608
266,13,0.004,0.000,0.000,0.200,533.733
266,70,0.022,0.000,0.050,0.350,485.395
266,124,0.014,0.000,0.024,0.280,554.204
266,148,0.004,0.000,0.000,0.037,655.430
266,212,0.069,0.000,0.077,0.997,588.587
266,256,0.004,0.000,0.000,1.190,1219.785
266,263,0.020,0.000,0.024,0.150,656.548
266,265,0.004,0.000,0.000,0.623,576.718
270,77,0.055,0.000,0.050,0.563,2441.003
271,5,0.000,0.000,0.000,0.000,0.000
271,36,0.000,0.000,0.000,0.000,0.000
271,75,0.000,0.000,0.000,0.000,0.000
271,82,0.000,0.000,0.000,0.000,0.000
271,95,0.000,0.000,0.000,0.000,0.000
271,123,0.004,0.000,0.000,0.050,1578.049
271,130,0.000,0.000,0.000,0.000,0.000
271,174,0.000,0.000,0.000,0.000,0.000
271,182,0.000,0.000,0.000,0.000,0.000
271,190,0.000,0.000,0.000,0.000,0.000
271,235,0.000,0.000,0.000,0.000,0.000
271,241,0.000,0.000,0.000,0.000,0.000
273,37,0.229,0.000,0.105,0.213,548.985
273,93,0.034,0.000,0.050,0.040,531.017
275,167,0.102,0.000,0.077,0.027,1482.631
275,253,0.013,0.000,0.050,0.587,1191.614
279,93,0.000,0.000,0.000,0.000,0.000
281,22,0.004,0.000,0.000,0.040,2497.828
281,25,0.000,0.000,0.000,0.000,0.000
281,31,0.004,0.000,0.000,0.333,2043.809
281,117,0.004,0.000,0.000,0.950,2015.712
281,172,0.000,0.000,0.000,0.000,0.000
284,18,0.036,0.000,0.105,0.160,378.026
285,243,0.004,0.000,0.000,0.427,937.669
285,287,0.008,0.000,0.024,0.030,2150.364
286,86,0.004,0.000,0.000,0.083,398.978
286,106,0.034,0.000,0.077,2.640,431.077
287,32,0.004,0.000,0.000,0.190,1206.058
287,43,0.028,0.000,0.077,0.010,3413.819
287,186,0.026,0.000,0.050,0.160,1571.409
287,245,0.004,0.000,0.000,0.080,1674.565
287,263,0.032,0.000,0.050,0.240,1297.829
287,285,0.106,0.000,0.024,0.030,1808.108
288,194,0.000,0.000,0.000,0.000,0.000
290,2,0.000,0.000,0.000,0.000,0.000
292,0,0.027,0.000,0.050,0.160,568.901
292,229,0.004,0.000,0.000,0.240,406.573
293,7,0.004,0.000,0.000,0.000,253.467
294,103,0.000,0.000,0.000,0.000,0.000
297,2,0.000,0.000,0.000,0.000,0.000
299,235,0.004,0.000,0.000,0.077,166.704
